horizon,rmse,mae,r2,model
Day 1 (+24h),38.09090462927872,31.10706633996957,-0.11264213736103201,RandomForest
Day 2 (+48h),40.156884750942105,34.80703380013206,-0.25513222143622727,RandomForest
Day 3 (+72h),44.50290857909984,39.220968528159815,-0.3904426584354994,RandomForest
Day 1 (+24h),38.030803075128915,29.298658872127334,-0.10913375309655726,Ridge
Day 2 (+48h),37.23243956213906,30.025695040697414,-0.07897762032879863,Ridge
Day 3 (+72h),38.60426389678221,30.18548293310301,-0.04627739561535771,Ridge
Day 1 (+24h),41.975422617924586,34.111562041989046,-0.35114850241935813,NeuralNet
Day 2 (+48h),43.17722651318723,37.63420861733588,-0.4510384961232703,NeuralNet
Day 3 (+72h),46.96021717756406,39.63400746040573,-0.5482335865860202,NeuralNet
